loc,long,lat,region,date,type,descr,deaths,death_stat,source
Cuprija,21.37088177,43.93340766,Serbia,4/27/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cuprija,21.37088177,43.93340766,Serbia,5/27/1999,industry,farm,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cuprija,21.37088177,43.93340766,Serbia,5/29/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Cvetke, Kraljevo",20.62508272,43.81284397,Serbia,3/25/1999,civilian,,0,,Bela Knjiga
Danilovgrad,20.43096041,42.37972868,Montenegro,3/24/1999,military facility,military,1,military,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Debrc,19.905,44.6319,Serbia,4/14/1999,military units,,1,military,FHP
Decani,20.28829797,42.53998705,Kosovo,4/27/1999,military units,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Decani,20.28829797,42.53998705,Kosovo,5/7/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Decani,20.28829797,42.53998705,Kosovo,5/8/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Decani,20.28829797,42.53998705,Kosovo,5/9/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Decani,20.28829797,42.53998705,Kosovo,5/12/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Decani,20.28829797,42.53998705,Kosovo,5/31/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Decani,20.28829797,42.53998705,Kosovo,6/8/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Dedina, Krusevac",21.36488135,43.59101272,Serbia,4/13/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Deliblatska pescara,21.0837,44.8836,Serbia,5/13/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Devet Jugovica,21.1419,42.7216,Kosovo,4/6/1999,industry,refinery,0,,Bela Knjiga
Divcibare,19.9916984,44.10450023,Serbia,4/18/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Divcibare,19.9916984,44.10450023,Serbia,5/27/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Djakovica,20.43096041,42.37972868,Kosovo,3/26/1999,military units,military,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Djakovica,20.43096041,42.37972868,Kosovo,3/28/1999,military units,military,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Djakovica,20.43096041,42.37972868,Kosovo,4/10/1999,military facility,civilian,1,military,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Djakovica,20.43096041,42.37972868,Kosovo,4/14/1999,military units,,1,civilian,FHP
Djakovica,20.43096041,42.37972868,Kosovo,4/22/1999,military units,,6,civilian,FHP
Djakovica,20.43096041,42.37972868,Kosovo,5/13/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Djakovica,20.43096041,42.37972868,Kosovo,5/18/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Djakovica,20.43096041,42.37972868,Kosovo,5/21/1999,military units,,1,civilian,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Djakovica,20.43096041,42.37972868,Kosovo,5/27/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Djelekare,21.4278,42.3478,Kosovo,5/26/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Djunis,21.50937632,43.59179526,Serbia,5/2/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Dobrevo,21.09,42.5997,Kosovo,5/21/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Dobricevo,21.35589612,44.98985344,Serbia,6/2/1999,industry,farm,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Dobricevo,21.35589612,44.98985344,Serbia,6/8/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Donja Bistrica,19.6644,43.4678,Serbia,4/20/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Donja Budriga,21.4452,42.4104,Kosovo,6/6/1999,military units,,1,civilian,FHP
Donja Srbica,20.69786883,42.28636763,Kosovo,4/14/1999,military units,,0,,Bela Knjiga
"Donja Vapa, Sjenica",20.0259,43.3037,Serbia,5/17/1999,civilian,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Donje Obrinje,20.75574002,42.63999095,Kosovo,5/18/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Donje Sinkovce,21.91325087,42.98004811,Serbia,5/31/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Donji Zagarac,19.1058,42.4961,Montenegro,4/15/1999,military units,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Dragas,20.6444,42.0583,Kosovo,5/16/1999,various,"TV relay, sheep farm, medical plant factory",0,,"http://www.nin.co.rs/arhiva/2525/5.html, Chronology of Crimes and Dishonor of NATO"
Dragas,20.6444,42.0583,Kosovo,5/29/1999,military units,,2,military,FHP
Dragas,20.6444,42.0583,Kosovo,5/31/1999,military facility,bunker,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Drakcici,20.5872,43.7316,Serbia,4/16/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Drasevac,20.2288831,44.57524253,Serbia,5/31/1999,civilian,house,1,civilian,FHP
Drmno,21.2216,44.7164,Serbia,5/23/1999,industry,plant,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Drobes,21.33591392,42.31532274,Kosovo,5/29/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Dubinje,20.0508,43.273,Serbia,4/6/1999,military facility,airport,0,,Bela Knjiga
Dubrava,20.52958684,42.76509323,Kosovo,5/19/1999,government,prison,3,military,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Dubrava,20.52958684,42.76509323,Kosovo,5/21/1999,government,prison,30,civilian/military,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Dubrava,20.52958684,42.76509323,Kosovo,5/29/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Dulje,20.8866,42.4106,Kosovo,4/22/1999,military units,,4,military,FHP
Dunavo,21.541,42.2813,Kosovo,5/30/1999,military units,,2,military,FHP
Feketic,19.69865776,45.66456938,Vojvodina,5/17/1999,military units,,1,military,FHP
Fshaj,20.53864019,42.3463684,Kosovo,4/14/1999,military units,,1,civilian,FHP
Futog,19.71069236,45.237001,Vojvodina,3/29/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gadsin Han,22.02777426,43.22283729,Serbia,5/24/1999,communications,relay,0,,http://www.nin.co.rs/arhiva/2526/7.html
Gazimestan,21.1280434,42.6883281,Kosovo,3/29/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gazimestan,21.1280434,42.6883281,Kosovo,4/23/1999,military units,,1,military,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Glava Zete,18.9989,42.665,Montenegro,4/15/1999,military units,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Glava Zete,18.9989,42.665,Montenegro,4/16/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Glodjane,20.36083933,42.50625749,Kosovo,6/6/1999,military units,,1,police,FHP
Glogovac,20.894418,42.6250678,Kosovo,3/25/1999,military units,police,1,police,FHP
Glogovac,20.894418,42.6250678,Kosovo,5/24/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Glumac,20.01929464,43.86404792,Serbia,5/2/1999,civilian,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Glusci,19.54770784,44.89024092,Serbia,5/1/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gnjilane,21.47658788,42.46602364,Kosovo,3/26/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gnjilane,21.47658788,42.46602364,Kosovo,4/7/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gnjilane,21.47658788,42.46602364,Kosovo,4/30/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gnjilane,21.47658788,42.46602364,Kosovo,5/17/1999,military units,,0,,http://www.prviprvinaskali.com/clanci/dren/ekologija/hronologija-nato-bombardovanja-srj.html
Gnjilane,21.47658788,42.46602364,Kosovo,5/19/1999,industry,factory,5,civilian,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Gobelja,20.8082,43.3225,Serbia,4/23/1999,communications,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Gobelja,20.8082,43.3225,Serbia,5/17/1999,communications,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Goles,22.3304885,42.33038548,Serbia,4/10/1999,communications,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Goles,22.3304885,42.33038548,Serbia,4/16/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Goles,22.3304885,42.33038548,Serbia,4/19/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Goles,22.3304885,42.33038548,Serbia,5/5/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Goles,22.3304885,42.33038548,Serbia,5/8/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Goles,22.3304885,42.33038548,Serbia,5/13/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Golubovci, aerodrom",19.25072545,42.35907471,Montenegro,3/24/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Golubovci, aerodrom",19.25072545,42.35907471,Montenegro,3/26/1999,military units,military,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Golubovci, aerodrom",19.25072545,42.35907471,Montenegro,3/29/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Golubovci, aerodrom",19.25072545,42.35907471,Montenegro,4/7/1999,military facility,airport,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Golubovci, aerodrom",19.25072545,42.35907471,Montenegro,4/15/1999,military facility,airport,1,military,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
"Golubovci, aerodrom",19.25072545,42.35907471,Montenegro,4/16/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Golubovci, aerodrom",19.25072545,42.35907471,Montenegro,4/29/1999,military facility,airport,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Gornja Budrika,21.4043,42.3786,Kosovo,5/26/1999,military units,,3,military,FHP
Gornje Ljupce,21.09428373,42.85465338,Kosovo,5/11/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gornje Obrinje,20.75574002,42.63999095,Kosovo,4/8/1999,military facility,,8,military,FHP
Gornje Selo,20.9227,42.1788,Kosovo,5/29/1999,infrastructure,tunnel,1,civilian,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Gornji Milanovac,20.45769971,44.02307287,Serbia,4/20/1999,industry,factory,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gornji Neradovac,21.87363087,42.51402136,Serbia,5/31/1999,civilian,,1,civilian,FHP
Gornji Sibovac,21.19019595,42.85394264,Kosovo,4/28/1999,military units,,1,civilian,FHP
Gorosup,20.5445,42.1781,Kosovo,6/1/1999,military facility,bunker,1,military,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gorusup,20.5445,42.1781,Kosovo,4/15/1999,military units,,1,military,FHP
Gorusup,20.5445,42.1781,Kosovo,5/27/1999,military units,,1,military,FHP
Gracanica,21.19231019,42.5997414,Kosovo,4/7/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gracanica,21.19231019,42.5997414,Kosovo,4/12/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gracanica,21.19231019,42.5997414,Kosovo,4/14/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Gradis,20.5294,42.3519,Kosovo,4/14/1999,military units,,0,,Bela Knjiga
Grcina,20.4787,42.2969,Kosovo,5/9/1999,military units,,1,military,FHP
Grdelica,22.06326088,42.89094443,Serbia,4/7/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Grdelica,22.06326088,42.89094443,Serbia,4/12/1999,infrastructure,bridge,12,civilian,Bela Knjiga
Grdelica,22.06326088,42.89094443,Serbia,4/12/1999,infrastructure,bridge,0,,Bela Knjiga
Grlic,19.22167882,43.4691608,Montenegro,3/26/1999,military units,,0,,Bela Knjiga
"Grmija, Pristina",21.2356,42.6646,Kosovo,3/30/1999,military units,civilian,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Grmija, Pristina",21.2356,42.6646,Kosovo,4/20/1999,military units,civilian,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
"Grmija, Pristina",21.2356,42.6646,Kosovo,5/6/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Grmija, Pristina",21.2356,42.6646,Kosovo,5/27/1999,industry,depot,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Grmija, Pristina",21.2356,42.6646,Kosovo,6/2/1999,communications,relay,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Grocka,20.71599059,44.67005581,Belgrade,5/11/1999,communications,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Gucevo, Loznica",19.16936067,44.47267481,Serbia,4/5/1999,infrastructure,bridge,0,,Bela Knjiga
"Gucevo, Loznica",19.16936067,44.47267481,Serbia,4/24/1999,military units,,0,,http://www.arhiva.srbija.gov.rs/vesti/1999-06/05/13088.html
"Gucevo, Loznica",19.16936067,44.47267481,Serbia,4/25/1999,communications,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
HE Bistrica,19.65417388,43.4705801,Serbia,4/14/1999,industry,factory,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Herceg Novi,18.53262917,42.44964249,Montenegro,5/28/1999,military facility,navy,0,,http://www.nin.co.rs/arhiva/2527/2.html
Horgos,19.92370125,46.14573894,Vojvodina,5/11/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Hotel Nais, Nis",21.809,43.3839,Serbia,5/28/1999,infrastructure,motorway,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Hrtkovci,19.77004417,44.87959795,Serbia,6/8/1999,military units,,1,military,FHP
Ibarska Slatina,20.8322,43.0472,Kosovo,3/30/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Iriski Venac,19.82952132,45.14984257,Vojvodina,3/26/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Iriski venac,19.82952132,45.14984257,Vojvodina,4/21/1999,communications,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Iriski Venac,19.82952132,45.14984257,Vojvodina,4/22/1999,military units,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Iriski Venac,19.82952132,45.14984257,Vojvodina,4/27/1999,military units,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Iriski Venac,19.82952132,45.14984257,Vojvodina,4/30/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Iriski Venac,19.82952132,45.14984257,Vojvodina,5/20/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Iriski Venac,19.82952132,45.14984257,Vojvodina,5/22/1999,communications,relay,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Iriski Venac,19.82952132,45.14984257,Vojvodina,5/23/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Iriski Venac,19.82952132,45.14984257,Vojvodina,5/26/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Iriski Venac,19.82952132,45.14984257,Vojvodina,5/29/1999,communications,relay,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Iriski Venac,19.82952132,45.14984257,Vojvodina,5/30/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Iriski Venac,19.82952132,45.14984257,Vojvodina,6/2/1999,communications,relay,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Izvor, Pirot",22.63517265,43.14757681,Serbia,4/14/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Jablanica, Prizren",20.7649,42.1713,Kosovo,5/1/1999,military units,,2,civilian,FHP
Jagodina,21.2869774,43.97758432,Serbia,5/15/1999,infrastructure,"motorway, bridge",0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Jagodina,21.2247,43.9754,Serbia,5/29/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Jagodnja,19.2910039,44.34305815,Serbia,4/15/1999,communications,,0,,Bela Knjiga
Jajinci,20.49569497,44.75243269,Belgrade,3/25/1999,military facility,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Jakovo,20.2764889,44.74383229,Belgrade,3/30/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Jakovo,20.27810904,44.74322206,Belgrade,3/31/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Jalovik,19.8342,44.6015,Serbia,5/18/1999,civilian,farm,NA,,https://www.icj-cij.org/files/case-related/113/8338.pdf
Jamena,19.06315668,44.88501604,Vojvodina,5/26/1999,military facility,bunker,1,military,FHP
Janjevo,21.2382,42.5712,Kosovo,3/30/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Jarak,19.75658886,44.91619973,Vojvodina,4/29/1999,military units,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Jarcujak,20.6247,43.7407,Serbia,4/5/1999,military facility,baracks,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Jarcujak,20.6247,43.7407,Serbia,5/11/1999,military facility,baracks,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Jarcujak,20.6247,43.7407,Serbia,5/29/1999,military facility,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Jasika, most",21.2992,43.6108,Serbia,4/15/1999,infrastructure,bridge,0,,Bela Knjiga
Jastrebac,21.3198,43.4112,Serbia,4/10/1999,communications,,0,,Bela Knjiga
Jelasnica,22.05655258,43.29335549,Serbia,3/30/1999,civilian,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Jelav,19.2594,44.6219,Serbia,4/4/1999,military units,,3,military,FHP
Jerinja,20.62344105,42.61811233,Kosovo,4/30/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Jezgrovici,20.4371,42.9586,Serbia,4/4/1999,infrastructure,bridge,0,,Bela Knjiga
Junik,20.2671,42.4758,Kosovo,5/8/1999,military units,,1,military,FHP
Kacanik,21.2365,42.2332,Kosovo,5/16/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Kacanik,21.2365,42.2332,Kosovo,5/29/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Kalimanici,20.41672581,44.07535043,Serbia,5/3/1999,civilian,,1,civilian,FHP
Kaludjerske bare,19.52129526,43.90630524,Serbia,6/2/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Kamcatska 23, Zvezdara",20.51770293,44.81099829,Belgrade,6/8/1999,civilian,house,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Kamena Glava,21.2158,42.3422,Kosovo,4/18/1999,military units,,2,military,FHP
Katrga,20.55075802,43.82893767,Serbia,3/25/1999,civilian,,0,,Bela Knjiga
Kikinda,20.4260509,45.79531173,Vojvodina,6/1/1999,military facility,baracks,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Kisac,19.7129,45.3586,Vojvodina,3/29/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Kisna reka,20.8787,42.5524,Kosovo,5/6/1999,military units,,1,civilian,FHP
Klecka,20.85966645,42.49228152,Kosovo,6/2/1999,military units,,4,civilian/military,FHP
Klina,20.5744,42.6233,Kosovo,4/2/1999,military units,,5,military,FHP
Klina,20.5744,42.6233,Kosovo,4/4/1999,military units,,3,military,FHP
Klina,20.5744,42.6233,Kosovo,5/16/1999,military units,,0,,http://www.nin.co.rs/arhiva/2525/5.html
Kljajicevo,19.26173056,45.78884395,Serbia,4/7/1999,industry,refinery,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Kljajicevo,19.26173056,45.78884395,Serbia,6/3/1999,industry,refinery,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Knic,20.8368,44.0176,Serbia,4/13/1999,military facility,reservoir,0,,https://www.ikragujevac.com/vesti/27627-godisnjica-nato-bombardovanja-kragujevac-bio-pogoden-11-puta.html
Kodre,19.2342,41.9305,Montenegro,4/15/1999,military units,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Kopaonik,20.8263,43.268,Serbia,4/15/1999,military units,,1,police,FHP
"Kopaonik, Baciste",20.7952,43.2834,Serbia,4/13/1999,civilian,hotel,0,,Bela Knjiga
Koretin,21.59514476,42.55745412,Kosovo,5/11/1999,military units,civilian,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Koretiste,21.4321,42.4844,Kosovo,3/28/1999,military units,,1,military,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Koretiste,21.4321,42.4844,Kosovo,3/29/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Korisa,20.79659631,42.25805954,Kosovo,5/13/1999,military units,,77,civilian,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Korisa,20.79659631,42.25805954,Kosovo,5/14/1999,military units,,1,civilian,FHP
Korman,20.9803,44.0463,Serbia,5/1/1999,communications,relay,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Kosanica,21.2372,43.0643,Serbia,4/27/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Kosare,20.2035,42.4501,Kosovo,5/11/1999,military units,bunker,17,military,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Kosare,20.2035,42.4501,Kosovo,5/13/1999,military facility,bunker,2,military,FHP
Kosare,20.2035,42.4501,Kosovo,5/14/1999,military facility,bunker,1,military,FHP
Kosare,20.2035,42.4501,Kosovo,5/21/1999,military facility,bunker,5,military,FHP
Kosare,20.2035,42.4501,Kosovo,6/6/1999,military facility,bunker,1,military,FHP
Kosmaj,20.57232453,44.46320517,Belgrade,5/8/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Kosmaj,20.57232453,44.46320517,Belgrade,5/21/1999,military units,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Kosovo,21.1662,42.6675,Kosovo,4/20/1999,military units,,1,military,FHP
Kosovo Polje,21.09102444,42.63659053,Kosovo,4/11/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
